word,pinyin,context
熬夜,áo yè,他经常**熬夜**写报告。 → Он часто не спит ночью и пишет отчёт.
把握,bǎ wò,我有**把握**通过考试。 → Я уверен что сдам экзамен.
摆,bǎi,"桌子上**摆**着很多书。 → На столе расставлено много книг."
办理,bàn lǐ,"我去银行**办理**手续。 → Я иду в банк, чтобы оформить документы."
傍晚,bàng wǎn,"**傍晚**的天空很美。 → Небо на закате очень красивое."
包裹,bāo guǒ,我收到了一个**包裹**。 → Я получил посылку.
包含,bāo hán,这本书**包含**很多内容。 → Эта книга содержит много материала.
包括,bāo kuò,价格**包括**早餐。 → В цену включён завтрак.
薄,báo,这件衣服很**薄**。 → Эта одежда очень тонкая.
宝贝,bǎo bèi,"你是妈妈的**宝贝**。 → Ты мамино сокровище."
宝贵,bǎo guì,时间非常**宝贵**。 → Время очень дорого.
保持,bǎo chí,请**保持**安静。 → Пожалуйста соблюдайте тишину.
保存,bǎo cún,请**保存**文件。 → Пожалуйста сохраните файл.
保留,bǎo liú,我**保留**自己的意见。 → Я придерживаюсь своего мнения.
保险,bǎo xiǎn,我买了医疗**保险**。 → Я купил медицинскую страховку.
报到,bào dào,新生明天**报到**。 → Новые студенты регистрируются завтра.
报道,bào dào,这是一篇新闻**报道**。 → Это новостной репортаж.
报告,bào gào,我正在写**报告**。 → Я пишу отчёт.
抱怨,bào yuàn,他总是**抱怨**工作。 → Он постоянно жалуется на работу.
背景,bèi jǐng,他的家庭**背景**很好。 → У него хороший семейный фон.
被子,bèi zi,冬天要盖厚**被子**。 → Зимой нужно укрываться толстым одеялом.
本科,běn kē,他是**本科**毕业生。 → Он выпускник бакалавриата.
本领,běn lǐng,他有很大的**本领**。 → У него большие способности.
本质,běn zhì,我们要看问题的**本质**。 → Нужно видеть суть проблемы.
比例,bǐ lì,男女**比例**是一比一。 → Соотношение мужчин и женщин один к одному.
彼此,bǐ cǐ,我们**彼此**了解。 → Мы понимаем друг друга.
必然,bì rán,这是**必然**的结果。 → Это неизбежный результат.
必要,bì yào,这次会议很**必要**。 → Это совещание очень необходимо.
毕竟,bì jìng,他**毕竟**还是个孩子。 → Он всё-таки ещё ребёнок.
避免,bì miǎn,我们要**避免**错误。 → Мы должны избегать ошибок.
编辑,biān jí,他是一名**编辑**。 → Он редактор.
鞭炮,biān pào,过年放**鞭炮**。 → На Новый год запускают петарды.
便,biàn,"我吃完饭**便**走了。 → Я поел и сразу ушёл."
辩论,biàn lùn,他们在**辩论**这个问题。 → Они обсуждают эту проблему.
标点,biāo diǎn,注意**标点**符号。 → Обратите внимание на знаки препинания.
标志,biāo zhì,这是一个交通**标志**。 → Это дорожный знак.
表达,biǎo dá,他善于**表达**自己。 → Он умеет выражать себя.
表面,biǎo miàn,"水的**表面**很平静。 → Поверхность воды очень спокойна."
表明,biǎo míng,数据**表明**经济在增长。 → Данные показывают что экономика растёт.
表情,biǎo qíng,他的**表情**很严肃。 → Выражение его лица очень серьёзное.
表现,biǎo xiàn,他**表现**得很好。 → Он показал себя очень хорошо.
冰激凌,bīng jī líng,夏天爱吃**冰激凌**。 → Летом люблю есть мороженое.
病毒,bìng dú,电脑感染了**病毒**。 → Компьютер заражён вирусом.
玻璃,bō lí,**玻璃**杯打碎了。 → Стеклянный стакан разбился.
博物馆,bó wù guǎn,我们去**博物馆**参观。 → Мы идём в музей.
博士,bó shì,他是**博士**研究生。 → Он аспирант доктор.
脖子,bó zi,我的**脖子**疼。 → У меня болит шея.
不断,bù duàn,他**不断**进步。 → Он непрерывно прогрессирует.
不见得,bù jiàn de,他**不见得**会来。 → Не факт что он придёт.
不耐烦,bù nài fán,他显得很**不耐烦**。 → Он выглядит очень нетерпеливым.
不要紧,bù yào jǐn,**不要紧**，慢慢来。 → Ничего страшного не спеши.
不足,bù zú,经验**不足**是个问题。 → Недостаток опыта это проблема.
布,bù,妈妈买了一块**布**。 → Мама купила кусок ткани.
步骤,bù zhòu,按照**步骤**进行。 → Выполняйте по шагам.
部门,bù mén,他在销售**部门**工作。 → Он работает в отделе продаж.
财产,cái chǎn,这是我的**财产**。 → Это моё имущество.
财富,cái fù,健康是最大的**财富**。 → Здоровье это самое большое богатство.
采访,cǎi fǎng,记者在**采访**他。 → Журналист берёт у него интервью.
采取,cǎi qǔ,政府**采取**了措施。 → Правительство приняло меры.
彩虹,cǎi hóng,雨后出现了**彩虹**。 → После дождя появилась радуга.
踩,cǎi,"小心，别**踩**到我的脚。 → Осторожно, не наступи мне на ногу."
参考,cān kǎo,请**参考**这本书。 → Пожалуйста обратитесь к этой книге.
参与,cān yù,我也想**参与**这个项目。 → Я тоже хочу участвовать в этом проекте.
惭愧,cán kuì,我感到很**惭愧**。 → Мне очень стыдно.
操场,cāo chǎng,学生们在**操场**上玩。 → Ученики играют на спортплощадке.
操心,cāo xīn,父母为孩子**操心**。 → Родители беспокоятся о детях.
册,cè,这套书共三**册**。 → Этот комплект книг состоит из трёх томов.
测验,cè yàn,明天有数学**测验**。 → Завтра тест по математике.
曾经,céng jīng,我**曾经**去过北京。 → Я когда-то был в Пекине.
插,chā,他把花**插**在花瓶里。 → Он поставил цветы в вазу.
差距,chā jù,贫富**差距**很大。 → Разрыв между бедными и богатыми велик.
叉子,chā zi,请用**叉子**吃。 → Пожалуйста ешьте вилкой.
拆,chāi,这座房子要**拆**了。 → Этот дом нужно снести.
产品,chǎn pǐn,这是新**产品**。 → Это новый продукт.
产生,chǎn shēng,这件事**产生**了影响。 → Это событие оказало влияние.
长途,cháng tú,我打了一个**长途**电话。 → Я позвонил по междугороднему.
常识,cháng shí,这是基本**常识**。 → Это базовые знания.
钞票,chāo piào,他给了我一张**钞票**。 → Он дал мне купюру.
朝,cháo,房子**朝**南。 → Дом обращён на юг.
朝代,cháo dài,唐**朝代**是中国历史上重要的时期。 → Династия Тан важный период китайской истории.
潮湿,cháo shī,这里气候**潮湿**。 → Здесь влажный климат.
吵,chǎo,外面太**吵**了。 → Снаружи слишком шумно.
吵架,chǎo jià,他们经常**吵架**。 → Они часто ссорятся.
炒,chǎo,妈妈在**炒**菜。 → Мама жарит овощи.
