word,pinyin,context
爱情,ài qíng,他们的**爱情**故事很感人。 → Их история **любви** очень трогательная.
安排,ān pái,"老师**安排**我们去参观博物馆。 → Учитель **организовал** для нас посещение музея."
按时,àn shí,"请**按时**完成作业。 → Пожалуйста, выполни задание **вовремя**."
按照,àn zhào,"请**按照**说明书操作。 → Пожалуйста, действуй **согласно** инструкции."
百分之,bǎi fēn zhī,"这件商品打**百分之**八十的折扣。 → Этот товар продаётся со скидкой **на восемьдесят процентов**."
棒,bàng,你的中文真**棒**！ → Твой китайский действительно **отличный**!
包子,bāo zi,"早饭我吃了两个**包子**。 → На завтрак я съел два **бао-цзы**."
保护,bǎo hù,我们应该**保护**环境。 → Мы должны **защищать** окружающую среду.
保证,bǎo zhèng,"我**保证**不再迟到。 → Я **гарантирую**, что больше не буду опаздывать."
报名,bào míng,我想**报名**参加比赛。 → Я хочу **записаться** на соревнование.
抱,bào,妈妈**抱**着孩子。 → Мама **держит на руках** ребёнка.
抱歉,bào qiàn,"真**抱歉**让你久等了。 → Очень **извини**, что заставил тебя долго ждать."
倍,bèi,他的工资是我的两**倍**。 → Его зарплата в два **раза** больше моей.
本来,běn lái,我**本来**想去的。 → Я **изначально** хотел пойти.
笨,bèn,"他不**笨**，只是不努力。 → Он не **глупый**, просто не старается."
比如,bǐ rú,"我喜欢运动，**比如**跑步和游泳。 → Я люблю спорт, **например**, бег и плавание."
毕业,bì yè,他去年大学**毕业**。 → Он в прошлом году **окончил** университет.
遍,biàn,这部电影我看了三**遍**。 → Этот фильм я смотрел три **раза**.
标准,biāo zhǔn,他的发音很**标准**。 → Его произношение очень **правильное**.
表达,biǎo dá,他不太会**表达**自己的感情。 → Он не очень умеет **выражать** свои чувства.
表格,biǎo gé,"请填写这张**表格**。 → Пожалуйста, заполни эту **таблицу**."
表扬,biǎo yáng,老师**表扬**了他。 → Учитель **похвалил** его.
表演,biǎo yǎn,他们的**表演**很精彩。 → Их **выступление** очень яркое.
表示,biǎo shì,"他点头**表示**同意。 → Он кивнул, **выражая** согласие."
饼干,bǐng gān,"孩子喜欢吃**饼干**。 → Ребёнок любит есть **печенье**."
并且,bìng qiě,"他聪明**并且**努力。 → Он умный **и** при этом старательный."
博士,bó shì,他是历史**博士**。 → Он **доктор** исторических наук.
不得不,bù dé bù,"下雨了，我**不得不**回家。 → Пошёл дождь, мне **пришлось** вернуться домой."
不管,bù guǎn,"**不管**多忙，我都会陪你。 → **Несмотря на то** как занят, я всё равно буду с тобой."
不过,bù guò,"我想去，**不过**没时间。 → Я хочу пойти, **однако** нет времени."
不仅,bù jǐn,"他**不仅**会汉语，还会日语。 → Он **не только** знает китайский, но и японский."
部分,bù fen,这只是问题的一**部分**。 → Это лишь **часть** проблемы.
擦,cā,"请**擦**一下桌子。 → Пожалуйста, **протри** стол."
猜,cāi,"你**猜**他多大年纪？ → **Угадай**, сколько ему лет?"
材料,cái liào,做菜需要新鲜的**材料**。 → Для готовки нужны свежие **продукты**.
参观,cān guān,我们去**参观**了博物馆。 → Мы **посетили** музей.
餐厅,cān tīng,这家**餐厅**的菜很好吃。 → В этом **ресторане** очень вкусные блюда.
厕所,cè suǒ,"请问**厕所**在哪里？ → Скажите, где **туалет**?"
差不多,chà bu duō,"我们**差不多**该走了。 → Нам **примерно** пора идти."
