word,pinyin,context
弥补,mí bǔ,**弥补** 我们必须**弥补**这个损失。 → Мы должны **возместить** этот ущерб.
渗透,shèn tòu,**渗透** 雨水**渗透**进了土壤。 → Дождевая вода **просочилась** в почву.
颠覆,diān fù,**颠覆** 这个发现**颠覆**了传统观念。 → Это открытие **перевернуло** традиционные представления.
缔造,dì zào,**缔造** 他**缔造**了一个商业帝国。 → Он **создал** бизнес-империю.
蕴含,yùn hán,**蕴含** 这首诗**蕴含**深刻的哲理。 → Это стихотворение **содержит** глубокую философию.
攀登,pān dēng,**攀登** 他喜欢**攀登**高山。 → Он любит **взбираться** на высокие горы.
嘲笑,cháo xiào,**嘲笑** 不要**嘲笑**别人的缺点。 → Не **смейся** над недостатками других.
揭示,jiē shì,**揭示** 研究**揭示**了真相。 → Исследование **раскрыло** правду.
推动,tuī dòng,**推动** 科技**推动**社会进步。 → Технологии **продвигают** общественный прогресс.
协商,xié shāng,**协商** 双方正在**协商**合同细节。 → Обе стороны **обсуждают** детали договора.
调解,tiáo jiě,**调解** 法官**调解**了这场纠纷。 → Судья **урегулировал** этот спор.
仲裁,zhòng cái,**仲裁** 商业纠纷由**仲裁**机构处理。 → Коммерческие споры решает **арбитраж**.
苛刻,kē kè,**苛刻** 老板对员工很**苛刻**。 → Начальник очень **строг** с сотрудниками.
婉转,wǎn zhuǎn,**婉转** 她**婉转**地拒绝了他。 → Она **деликатно** ему отказала.
雄伟,xióng wěi,**雄伟** 长城非常**雄伟**。 → Великая стена очень **величественна**.
蓬勃,péng bó,**蓬勃** 经济正在**蓬勃**发展。 → Экономика **бурно** развивается.
谨慎,jǐn shèn,**谨慎** 做决定要**谨慎**。 → Принимать решения нужно **осторожно**.
慷慨,kāng kǎi,**慷慨** 他是一个**慷慨**的人。 → Он **щедрый** человек.
焦虑,jiāo lǜ,**焦虑** 考试前他很**焦虑**。 → Перед экзаменом он очень **тревожится**.
璀璨,cuǐ càn,**璀璨** 夜空中星星**璀璨**夺目。 → На ночном небе звёзды **сияют** ослепительно.
凄惨,qī cǎn,**凄惨** 战后景象十分**凄惨**。 → Послевоенная картина очень **трагична**.
颓废,tuí fèi,**颓废** 他过着**颓废**的生活。 → Он ведёт **упадочный** образ жизни.
蓝图,lán tú,**蓝图** 我们已经制定了未来的**蓝图**。 → Мы уже разработали **план** на будущее.
韵味,yùn wèi,**韵味** 这首诗很有**韵味**。 → У этого стихотворения особое **очарование**.
嗜好,shì hào,**嗜好** 读书是他的**嗜好**。 → Чтение — это его **увлечение**.
庇护,bì hù,**庇护** 他得到了政府的**庇护**。 → Он получил **защиту** правительства.
蜕变,tuì biàn,**蜕变** 她经历了一次心灵的**蜕变**。 → Она пережила духовную **трансформацию**.
怨恨,yuàn hèn,**怨恨** 不要心存**怨恨**。 → Не держи в сердце **обиду**.
制裁,zhì cái,**制裁** 国家受到了经济**制裁**。 → Страна подверглась экономическим **санкциям**.
政权,zhèng quán,**政权** 新**政权**已经建立。 → Новый **режим** уже установлен.
