word,pinyin,context
爱,ài,**爱** 我爱你。 → Я люблю тебя.
八,bā,**八** 我有八个朋友。 → У меня восемь друзей.
爸爸,bà ba,**爸爸** 我爸爸是老师。 → Мой папа — учитель.
杯子,bēi zi,**杯子** 这是我的杯子。 → Это моя чашка.
北京,běi jīng,**北京** 我住在北京。 → Я живу в Пекине.
本,běn,**本** 这本书很好。 → Эта книга очень хорошая.
不,bù,**不** 我不喜欢茶。 → Я не люблю чай.
不客气,bú kè qi,**不客气** 谢谢！不客气。 → Спасибо! — Не за что.
菜,cài,**菜** 这个菜很好吃。 → Это блюдо очень вкусное.
茶,chá,**茶** 我喜欢喝茶。 → Я люблю пить чай.
吃,chī,**吃** 我们一起吃饭吧。 → Давайте поедим вместе.
出租车,chū zū chē,**出租车** 我们坐出租车去。 → Поедем на такси.
打电话,dǎ diàn huà,**打电话** 我给妈妈 **打电话**。 → Я звоню маме.
大,dà,**大** 这个苹果很大。 → Это яблоко очень большое.
的,de,**的** 这是我 **的** 书。 → Это моя книга.
点,diǎn,**点** 现在几点？ → Который сейчас час?
电脑,diàn nǎo,**电脑** 我有一台电脑。 → У меня есть компьютер.
电视,diàn shì,**电视** 我喜欢看电视。 → Я люблю смотреть телевизор.
电影,diàn yǐng,**电影** 我们去看电影。 → Пойдём в кино.
东西,dōng xi,**东西** 我去买东西。 → Я иду покупать вещи.
都,dōu,**都** 我们都是学生。 → Мы все студенты.
读,dú,**读** 我喜欢读书。 → Я люблю читать книги.
对不起,duì bu qǐ,"**对不起**，我来晚了。 → Извини, я опоздал."
多,duō,**多** 这里人很多。 → Здесь много людей.
多少,duō shao,**多少** 这个多少钱？ → Сколько это стоит?
儿子,ér zi,**儿子** 我有一个儿子。 → У меня есть сын.
二,èr,**二** 我有二十块钱。 → У меня двадцать юаней.
饭店,fàn diàn,**饭店** 我们在饭店吃饭。 → Мы едим в ресторане.
飞机,fēi jī,**飞机** 我坐飞机去北京。 → Я лечу в Пекин на самолёте.
分钟,fēn zhōng,**分钟** 等我五分钟。 → Подожди меня пять минут.
高兴,gāo xìng,**高兴** 见到你很高兴。 → Очень рад тебя видеть.
个,gè,**个** 我有一个朋友。 → У меня есть один друг.
工作,gōng zuò,**工作** 我在北京工作。 → Я работаю в Пекине.
狗,gǒu,**狗** 这是我的狗。 → Это моя собака.
汉语,hàn yǔ,**汉语** 我学习汉语。 → Я изучаю китайский язык.
