word,pinyin,context
吧,ba,"我们走 **吧**。 → Пойдём же."
白,bái,"墙是 **白**色的。 → Стена белого цвета."
百,bǎi,"一 **百**个人。 → Сто человек."
帮助,bāng zhù,"谢谢你的 **帮助**。 → Спасибо за твою помощь."
报纸,bào zhǐ,"我每天看 **报纸**。 → Я каждый день читаю газету."
比,bǐ,"我 **比**你高。 → Я выше тебя."
别,bié,"**别**说话！ → Не разговаривай!"
宾馆,bīn guǎn,"我住在 **宾馆**。 → Я живу в гостинице."
长,cháng,"这条路很 **长**。 → Эта дорога очень длинная."
唱歌,chàng gē,"她喜欢 **唱歌**。 → Она любит петь."
出,chū,"他 **出**门了。 → Он вышел из дома."
穿,chuān,"今天 **穿**什么衣服？ → Что сегодня наденешь?"
次,cì,"我去过两 **次**。 → Я был там два раза."
从,cóng,"我 **从**北京来。 → Я из Пекина."
错,cuò,"这道题做 **错**了。 → Эта задача решена неправильно."
打篮球,dǎ lán qiú,"他喜欢 **打篮球**。 → Он любит играть в баскетбол."
大家,dà jiā,"**大家**好！ → Всем привет!"
到,dào,"我九点 **到**家。 → Я приду домой в девять."
得,de,"他跑 **得**很快。 → Он бегает очень быстро."
等,děng,"请 **等**一下。 → Пожалуйста, подожди."
弟弟,dì di,"我有一个 **弟弟**。 → У меня есть младший брат."
第一,dì yī,"她是 **第一**名。 → Она на первом месте."
懂,dǒng,"我 **懂**中文。 → Я понимаю китайский."
对,duì,"你说得 **对**。 → Ты прав."
房间,fáng jiān,"我的 **房间**很干净。 → Моя комната очень чистая."
非常,fēi cháng,"今天 **非常**热。 → Сегодня очень жарко."
服务员,fú wù yuán,"**服务员**！请来一下。 → Официант! Подойдите, пожалуйста."
高,gāo,"他个子很 **高**。 → Он очень высокий."
告诉,gào su,"请 **告诉**我答案。 → Пожалуйста, скажи мне ответ."
哥哥,gē ge,"我 **哥哥**是医生。 → Мой старший брат врач."
给,gěi,"我 **给**你一本书。 → Я дам тебе книгу."
公共汽车,gōng gòng qì chē,"我坐 **公共汽车**上班。 → Я езжу на автобусе на работу."
公斤,gōng jīn,"这个西瓜五 **公斤**。 → Этот арбуз пять килограммов."
公司,gōng sī,"她在大 **公司**工作。 → Она работает в большой компании."
贵,guì,"这件衣服很 **贵**。 → Эта одежда очень дорогая."
过,guò,"我去 **过**北京。 → Я бывал в Пекине."
还,hái,"我 **还**没吃饭。 → Я ещё не ел."
