word,romanization,context
회사,hoesa,**회사** 저는 큰 회사에서 일해요. → Я работаю в большой компании.
직장,jikjang,**직장** 새 직장이 집에서 가까워요. → Новая работа близко к дому.
회의,hoeui,**회의** 오후에 중요한 회의가 있어요. → Днём есть важное совещание.
사무실,samusil,**사무실** 사무실이 십 층에 있어요. → Офис находится на десятом этаже.
동료,dongnyo,**동료** 회사 동료들과 점심을 먹었어요. → Я пообедал с коллегами по работе.
월급,wolgeup,**월급** 이번 달 월급을 받았어요. → Я получил зарплату за этот месяц.
출근하다,chulgeunhada,**출근하다** 저는 아침 아홉 시에 출근해요. → Я прихожу на работу в девять утра.
퇴근하다,toegeunhada,**퇴근하다** 오늘은 일찍 퇴근했어요. → Сегодня я ушёл с работы рано.
취직하다,chwijikada,"**취직하다** 대학교를 졸업하고 은행에 취직했어요. → Окончив университет, я устроился в банк."
면접,myeonjeop,"**면접** 내일 회사 면접이 있어서 긴장돼요. → Завтра собеседование в компании, поэтому я волнуюсь."
상사,sangsa,**상사** 제 상사는 아주 친절한 분이에요. → Мой начальник — очень добрый человек.
서류,seoryu,"**서류** 이 서류에 이름을 써 주세요. → Пожалуйста, напишите имя в этом документе."
기분,gibun,"**기분** 좋은 소식을 들어서 기분이 좋아요. → Услышав хорошую новость, я в хорошем настроении."
감정,gamjeong,**감정** 그는 감정을 잘 표현하지 않아요. → Он не очень хорошо выражает свои чувства.
의견,uigyeon,**의견** 이 문제에 대한 제 의견을 말할게요. → Я выскажу своё мнение по этому вопросу.
생각,saenggak,**생각** 좋은 생각이 하나 떠올랐어요. → Мне пришла в голову одна хорошая мысль.
생각하다,saenggakada,"**생각하다** 저는 그 말이 맞다고 생각해요. → Я думаю, что эти слова верны."
느끼다,neukkida,**느끼다** 저는 요즘 행복을 느껴요. → В последнее время я чувствую счастье.
걱정,geokjeong,**걱정** 시험 걱정 때문에 잠을 못 잤어요. → Из-за переживаний об экзамене я не смог уснуть.
걱정하다,geokjeonghada,**걱정하다** 너무 걱정하지 마세요. → Не волнуйтесь слишком сильно.
기쁘다,gippeuda,"**기쁘다** 합격 소식을 들어서 정말 기뻐요. → Я очень рад, услышав новость о зачислении."
슬프다,seulpeuda,"**슬프다** 그 영화가 너무 슬퍼서 울었어요. → Тот фильм был таким грустным, что я заплакал."
화나다,hwanada,"**화나다** 친구가 약속을 안 지켜서 화났어요. → Друг не сдержал обещание, и я разозлился."
무섭다,museopda,**무섭다** 저는 높은 곳이 무서워요. → Я боюсь высоты.
답답하다,dapdapada,"**답답하다** 말이 안 통해서 답답해요. → Мы не понимаем друг друга, и это меня удручает."
심심하다,simsimhada,"**심심하다** 주말에 할 일이 없어서 심심해요. → На выходных нечего делать, и мне скучно."
편하다,pyeonhada,**편하다** 이 의자가 정말 편해요. → Этот стул очень удобный.
불편하다,bulpyeonhada,"**불편하다** 신발이 작아서 불편해요. → Обувь мала, поэтому неудобно."
만족하다,manjokada,**만족하다** 저는 지금 생활에 만족해요. → Я доволен нынешней жизнью.
실망하다,silmanghada,"**실망하다** 결과가 나빠서 실망했어요. → Результат был плохим, и я разочаровался."
계획,gyehoek,**계획** 이번 방학에 여행 계획을 세웠어요. → На эти каникулы я составил план путешествия.
경험,gyeongheom,**경험** 저는 외국에서 산 경험이 있어요. → У меня есть опыт жизни за границей.
결정하다,gyeoljeonghada,**결정하다** 저는 유학을 가기로 결정했어요. → Я решил поехать учиться за границу.
준비하다,junbihada,**준비하다** 지금 저녁을 준비하고 있어요. → Сейчас я готовлю ужин.
약속,yaksok,**약속** 오늘 저녁에 친구와 약속이 있어요. → Сегодня вечером у меня встреча с другом.
예약하다,yeyakada,**예약하다** 식당을 미리 예약했어요. → Я заранее забронировал ресторан.
미래,mirae,**미래** 저는 미래를 위해 열심히 공부해요. → Ради будущего я усердно учусь.
목표,mokpyo,**목표** 제 목표는 한국어를 잘하는 거예요. → Моя цель — хорошо говорить по-корейски.
성공하다,seonggonghada,"**성공하다** 열심히 노력해서 성공했어요. → Усердно постаравшись, я добился успеха."
실패하다,silpaehada,"**실패하다** 이번에는 실패했지만 포기하지 않아요. → В этот раз я потерпел неудачу, но не сдаюсь."
노력하다,noryeokada,"**노력하다** 꿈을 이루려고 매일 노력해요. → Чтобы осуществить мечту, я стараюсь каждый день."
참석하다,chamseokada,**참석하다** 내일 회의에 꼭 참석하세요. → Обязательно присутствуйте на завтрашнем совещании.
그래서,geuraeseo,**그래서** 비가 왔어요. 그래서 집에 있었어요. → Шёл дождь. Поэтому я остался дома.
그러면,geureomyeon,**그러면** 지금 출발해요. 그러면 늦지 않을 거예요. → Выходим сейчас. Тогда не опоздаем.
왜냐하면,waenyahamyeon,"**왜냐하면** 저는 그 식당을 좋아해요. 왜냐하면 음식이 맛있기 때문이에요. → Мне нравится тот ресторан, потому что там вкусная еда."
그러나,geureona,**그러나** 열심히 공부했어요. 그러나 시험을 못 봤어요. → Я усердно учился. Однако сдал экзамен плохо.
그리고,geurigo,**그리고** 저는 커피를 마셨어요. 그리고 빵도 먹었어요. → Я выпил кофе. И ещё съел хлеб.
하지만,hajiman,**하지만** 피곤해요. 하지만 일을 끝내야 해요. → Я устал. Но должен закончить работу.
그런데,geureonde,**그런데** 어제 영화를 봤어요. 그런데 별로 재미없었어요. → Вчера я смотрел фильм. Но было не очень интересно.
그래도,geuraedo,**그래도** 많이 힘들어요. 그래도 계속할 거예요. → Очень тяжело. Но я всё равно буду продолжать.
문제,munje,**문제** 이 문제를 어떻게 해결할까요? → Как нам решить эту проблему?
방법,bangbeop,**방법** 더 좋은 방법을 찾고 있어요. → Я ищу способ получше.
이유,iyu,"**이유** 늦은 이유를 설명해 주세요. → Объясните, пожалуйста, причину опоздания."
결과,gyeolgwa,**결과** 시험 결과가 내일 나와요. → Результаты экзамена будут завтра.
상황,sanghwang,**상황** 지금 상황이 아주 복잡해요. → Сейчас ситуация очень сложная.
업무,eommu,"**업무** 요즘 업무가 너무 많아서 힘들어요. → В последнее время очень много работы, поэтому тяжело."
승진하다,seungjinhada,**승진하다** 열심히 일해서 부장으로 승진했어요. → Я усердно работал и получил повышение до начальника отдела.
부서,buseo,**부서** 저는 마케팅 부서에서 일합니다. → Я работаю в отделе маркетинга.
야근,yageun,**야근** 오늘도 야근을 해야 해요. → Сегодня тоже придётся работать сверхурочно.
휴가,hyuga,**휴가** 다음 주에 휴가를 갈 거예요. → На следующей неделе поеду в отпуск.
책임,chaegim,**책임** 이 일은 제 책임이에요. → Это моя ответственность.
신청하다,sincheonghada,**신청하다** 장학금을 신청하려고 해요. → Я собираюсь подать заявку на стипендию.
전공,jeongong,**전공** 제 전공은 경제학이에요. → Моя специальность — экономика.
졸업하다,joreophada,**졸업하다** 저는 작년에 대학을 졸업했어요. → Я окончил университет в прошлом году.
수업,sueop,**수업** 오늘 오후에 한국어 수업이 있어요. → Сегодня днём есть урок корейского.
성적,seongjeok,**성적** 이번 학기 성적이 많이 올랐어요. → В этом семестре оценки сильно выросли.
발표,balpyo,**발표** 내일 회의에서 발표를 해야 해요. → Завтра на совещании нужно сделать доклад.
과제,gwaje,**과제** 이번 주말까지 과제를 끝내야 해요. → До этих выходных нужно закончить задание.
제출하다,jechulhada,**제출하다** 보고서를 내일까지 제출하세요. → Сдайте отчёт до завтра.
시험,siheom,**시험** 다음 달에 중요한 시험이 있어요. → В следующем месяце важный экзамен.
사이,sai,**사이** 저는 동생과 사이가 좋아요. → У меня хорошие отношения с младшим братом.
친하다,chinhada,**친하다** 우리는 어릴 때부터 친했어요. → Мы дружим с самого детства.
사귀다,sagwida,**사귀다** 그들은 일 년째 사귀고 있어요. → Они встречаются уже год.
헤어지다,heeojida,"**헤어지다** 남자친구와 헤어져서 슬퍼요. → Мне грустно, потому что я рассталась с парнем."
결혼하다,gyeolhonhada,**결혼하다** 언니가 올해 결혼해요. → Старшая сестра в этом году выходит замуж.
연락하다,yeollakhada,"**연락하다** 도착하면 꼭 연락하세요. → Когда приедете, обязательно свяжитесь со мной."
오해,ohae,**오해** 작은 오해 때문에 싸웠어요. → Мы поссорились из-за маленького недоразумения.
반대하다,bandaehada,**반대하다** 부모님은 그 결혼을 반대하셨어요. → Родители были против этого брака.
찬성하다,chanseonghada,**찬성하다** 저는 그 의견에 찬성해요. → Я согласен с этим мнением.
믿다,mitda,**믿다** 저는 그 사람을 믿어요. → Я верю этому человеку.
기대하다,gidaehada,**기대하다** 새로운 직장을 기대하고 있어요. → Я с нетерпением жду новую работу.
포기하다,pogihada,"**포기하다** 힘들어도 절대 포기하지 마세요. → Даже если трудно, никогда не сдавайтесь."
도전하다,dojeonhada,**도전하다** 새로운 일에 도전하고 싶어요. → Я хочу попробовать себя в новом деле.
조건,jogeon,**조건** 이 회사는 근무 조건이 좋아요. → В этой компании хорошие условия работы.
확인하다,hwaginhada,"**확인하다** 이메일을 다시 한번 확인해 주세요. → Проверьте письмо ещё раз, пожалуйста."
차이,chai,**차이** 두 제품의 차이가 뭐예요? → В чём разница между двумя товарами?
부족하다,bujokhada,"**부족하다** 시간이 부족해서 다 못 했어요. → Не хватило времени, поэтому я не всё успел."
충분하다,chungbunhada,**충분하다** 준비할 시간이 충분해요. → Времени на подготовку достаточно.
관련,gwallyeon,**관련** 이 기사는 경제와 관련이 있어요. → Эта статья связана с экономикой.
게다가,gedaga,"**게다가** 비가 오고 게다가 바람도 불어요. → Идёт дождь, и вдобавок дует ветер."
반면에,banmyeone,"**반면에** 형은 조용한 반면에 동생은 활발해요. → Старший брат тихий, тогда как младший активный."
따라서,ttaraseo,"**따라서** 규칙이 바뀌었어요. 따라서 다시 확인해야 해요. → Правила изменились. Следовательно, нужно проверить снова."
만약,manyak,"**만약** 만약 시간이 있으면 같이 갈까요? → Если будет время, пойдём вместе?"
물론,mullon,"**물론** 물론 저도 도와드릴게요. → Конечно, я тоже помогу."
특히,teuki,**특히** 저는 과일 중에서 특히 딸기를 좋아해요. → Из фруктов я особенно люблю клубнику.
