word,romanization,context
안녕하세요,annyeonghaseyo,"**안녕하세요** 안녕하세요, 저는 민수예요. → Здравствуйте, я Минсу."
감사합니다,gamsahamnida,**감사합니다** 정말 감사합니다. → Огромное спасибо.
고맙습니다,gomapseumnida,"**고맙습니다** 도와줘서 고맙습니다. → Спасибо, что помогли."
안녕히 가세요,annyeonghi gaseyo,"**안녕히 가세요** 안녕히 가세요, 내일 봐요. → До свидания, увидимся завтра."
안녕히 계세요,annyeonghi gyeseyo,"**안녕히 계세요** 선생님, 안녕히 계세요. → Учитель, до свидания."
죄송합니다,joesonghamnida,**죄송합니다** 늦어서 죄송합니다. → Извините за опоздание.
미안해요,mianhaeyo,**미안해요** 정말 미안해요. → Мне правда жаль.
네,ne,"**네** 네, 맞아요. → Да, верно."
아니요,aniyo,"**아니요** 아니요, 괜찮아요. → Нет, всё в порядке."
저,jeo,**저** 저는 학생이에요. → Я студент.
나,na,**나** 나는 집에 가. → Я иду домой.
너,neo,**너** 너는 뭐 해? → Ты что делаешь?
우리,uri,**우리** 우리 같이 가요. → Пойдём вместе.
가다,gada,**가다** 저는 학교에 가요. → Я иду в школу.
오다,oda,**오다** 친구가 우리 집에 와요. → Друг приходит к нам домой.
먹다,meokda,**먹다** 저는 밥을 먹어요. → Я ем рис.
마시다,masida,**마시다** 물을 마셔요. → Пью воду.
보다,boda,**보다** 텔레비전을 봐요. → Смотрю телевизор.
자다,jada,**자다** 저는 열 시에 자요. → Я ложусь спать в десять часов.
하다,hada,**하다** 지금 뭐 해요? → Что сейчас делаешь?
있다,itda,**있다** 시간이 있어요? → У тебя есть время?
없다,eopda,**없다** 돈이 없어요. → У меня нет денег.
사다,sada,**사다** 저는 책을 사요. → Я покупаю книгу.
읽다,ikda,**읽다** 매일 책을 읽어요. → Каждый день читаю книгу.
쓰다,sseuda,**쓰다** 여기에 이름을 써요. → Пишу здесь имя.
만나다,mannada,**만나다** 오후에 친구를 만나요. → Днём встречаюсь с другом.
좋아하다,joahada,**좋아하다** 저는 커피를 좋아해요. → Я люблю кофе.
공부하다,gongbuhada,**공부하다** 한국어를 공부해요. → Изучаю корейский язык.
말하다,malhada,**말하다** 천천히 말해요. → Говорите медленно.
물,mul,**물** 물이 차가워요. → Вода холодная.
밥,bap,**밥** 밥이 맛있어요. → Еда вкусная.
책,chaek,**책** 이 책이 재미있어요. → Эта книга интересная.
학교,hakgyo,**학교** 학교가 커요. → Школа большая.
집,jip,**집** 우리 집은 작아요. → Наш дом маленький.
사람,saram,**사람** 저 사람은 누구예요? → Кто тот человек?
친구,chingu,**친구** 저는 친구가 많아요. → У меня много друзей.
이름,ireum,**이름** 이름이 뭐예요? → Как тебя зовут?
커피,keopi,**커피** 커피 한 잔 주세요. → Дайте одну чашку кофе.
선생님,seonsaengnim,**선생님** 선생님이 친절해요. → Учитель добрый.
학생,haksaeng,**학생** 교실에 학생이 많아요. → В классе много учеников.
음식,eumsik,**음식** 한국 음식이 좋아요. → Мне нравится корейская еда.
시간,sigan,**시간** 오늘은 시간이 있어요. → Сегодня у меня есть время.
오늘,oneul,**오늘** 오늘 날씨가 좋아요. → Сегодня хорошая погода.
내일,naeil,**내일** 내일 학교에 가요. → Завтра иду в школу.
하나,hana,**하나** 사과 하나 주세요. → Дайте одно яблоко.
둘,dul,**둘** 저는 형이 둘 있어요. → У меня два старших брата.
셋,set,"**셋** 하나, 둘, 셋! → Раз, два, три!"
일,il,**일** 저는 일 번 버스를 타요. → Я сажусь на автобус номер один.
이,i,**이** 이 더하기 이는 사예요. → Два плюс два — четыре.
삼,sam,**삼** 삼 번 문으로 가세요. → Идите к двери номер три.
크다,keuda,**크다** 이 가방이 커요. → Эта сумка большая.
작다,jakda,**작다** 신발이 작아요. → Обувь маленькая.
좋다,jota,**좋다** 오늘 기분이 좋아요. → Сегодня хорошее настроение.
많다,manta,**많다** 오늘 일이 많아요. → Сегодня много дел.
예쁘다,yeppeuda,**예쁘다** 꽃이 예뻐요. → Цветы красивые.
맛있다,masitda,**맛있다** 이 음식이 맛있어요. → Эта еда вкусная.
주다,juda,**주다** 친구에게 선물을 줘요. → Я дарю другу подарок.
알다,alda,**알다** 그 사람을 잘 알아요. → Я хорошо знаю этого человека.
모르다,moreuda,**모르다** 저는 답을 몰라요. → Я не знаю ответа.
살다,salda,**살다** 저는 서울에 살아요. → Я живу в Сеуле.
듣다,deutda,**듣다** 저는 음악을 들어요. → Я слушаю музыку.
기다리다,gidarida,**기다리다** 저는 버스를 기다려요. → Я жду автобус.
만들다,mandeulda,**만들다** 저는 김밥을 만들어요. → Я делаю кимпаб.
앉다,anda,**앉다** 의자에 앉아요. → Я сажусь на стул.
웃다,utda,**웃다** 아이가 크게 웃어요. → Ребёнок громко смеётся.
타다,tada,**타다** 저는 버스를 타요. → Я еду на автобусе.
재미있다,jaemiitda,**재미있다** 이 책은 정말 재미있어요. → Эта книга очень интересная.
어렵다,eoryeopda,**어렵다** 한국어는 조금 어려워요. → Корейский язык немного трудный.
쉽다,swipda,**쉽다** 이 문제는 쉬워요. → Эта задача лёгкая.
문,mun,"**문** 문을 닫아 주세요. → Закройте, пожалуйста, дверь."
옷,ot,**옷** 저는 새 옷을 샀어요. → Я купил новую одежду.
전화,jeonhwa,**전화** 저는 친구에게 전화를 해요. → Я звоню другу.
컴퓨터,keompyuteo,**컴퓨터** 컴퓨터로 일을 해요. → Я работаю за компьютером.
빵,ppang,**빵** 저는 빵을 좋아해요. → Я люблю хлеб.
과일,gwail,**과일** 이 과일은 아주 달아요. → Эти фрукты очень сладкие.
의자,uija,**의자** 이 의자가 편해요. → Этот стул удобный.
신발,sinbal,**신발** 새 신발이 예뻐요. → Новая обувь красивая.
조금,jogeum,**조금** 물을 조금 마셔요. → Я пью немного воды.
지금,jigeum,**지금** 지금 몇 시예요? → Сколько сейчас времени?
잘,jal,**잘** 저는 잠을 잘 자요. → Я хорошо сплю.
빨리,ppalli,**빨리** 빨리 오세요. → Приходите быстрее.
같이,gachi,**같이** 같이 밥을 먹어요. → Давайте поедим вместе.
뭐,mwo,**뭐** 이거 뭐예요? → Что это?
누구,nugu,**누구** 저 사람은 누구예요? → Кто тот человек?
어디,eodi,**어디** 화장실이 어디예요? → Где туалет?
언제,eonje,**언제** 생일이 언제예요? → Когда у тебя день рождения?
왜,wae,**왜** 왜 늦었어요? → Почему ты опоздал?
어떻게,eotteoke,**어떻게** 이름을 어떻게 써요? → Как пишется имя?
