word,romanization,context
경제,gyeongje,**경제** 최근 세계 경제가 빠르게 회복되고 있다. → В последнее время мировая экономика быстро восстанавливается.
정책,jeongchaek,**정책** 정부는 새로운 부동산 정책을 발표했다. → Правительство объявило новую политику в сфере недвижимости.
발전,baljeon,**발전** 과학 기술의 발전이 우리 삶을 크게 바꾸었다. → Развитие науки и технологий сильно изменило нашу жизнь.
증가하다,jeunggahada,**증가하다** 올해 관광객 수가 크게 증가했다. → В этом году число туристов значительно увеличилось.
감소하다,gamsohada,**감소하다** 출산율이 해마다 감소하고 있다. → Уровень рождаемости снижается год от года.
영향,yeonghyang,**영향** 기후 변화는 농업에 큰 영향을 미친다. → Изменение климата оказывает большое влияние на сельское хозяйство.
사회적,sahoejeok,**사회적** 이 문제는 심각한 사회적 갈등을 일으켰다. → Эта проблема вызвала серьёзный социальный конфликт.
지속적,jisokjeok,**지속적** 지속적인 노력 없이는 성공하기 어렵다. → Без постоянных усилий трудно добиться успеха.
정부,jeongbu,**정부** 정부는 실업 문제를 해결하기 위해 노력하고 있다. → Правительство прилагает усилия для решения проблемы безработицы.
환경,hwangyeong,**환경** 우리는 깨끗한 환경을 보호해야 한다. → Мы должны защищать чистую окружающую среду.
오염,oyeom,**오염** 대기 오염이 국민 건강을 위협하고 있다. → Загрязнение воздуха угрожает здоровью населения.
성장,seongjang,**성장** 이 나라는 지난 십 년간 급속한 경제 성장을 이루었다. → Эта страна достигла быстрого экономического роста за последние десять лет.
수출,suchul,**수출** 반도체 수출이 국가 경제에서 중요한 역할을 한다. → Экспорт полупроводников играет важную роль в экономике страны.
수입,suip,**수입** 원유 수입 가격이 계속 오르고 있다. → Цена импорта сырой нефти продолжает расти.
물가,mulga,"**물가** 최근 물가가 크게 올라 생활이 어려워졌다. → В последнее время цены сильно выросли, и жить стало тяжело."
소비,sobi,**소비** 경기 침체로 소비가 줄어들고 있다. → Из-за экономического спада потребление снижается.
투자,tuja,**투자** 외국 기업의 투자가 늘어나고 있다. → Инвестиции иностранных компаний растут.
기업,gieop,**기업** 많은 기업이 친환경 기술에 관심을 보인다. → Многие компании проявляют интерес к экологичным технологиям.
실업,sireop,**실업** 청년 실업 문제가 갈수록 심각해지고 있다. → Проблема безработицы среди молодёжи становится всё серьёзнее.
고용,goyong,**고용** 정부는 청년 고용을 늘리기 위한 대책을 마련했다. → Правительство подготовило меры для увеличения занятости молодёжи.
