word,romanization,context
사다,sada,**사다** 저는 시장에서 과일을 샀어요. → Я купил фрукты на рынке.
팔다,palda,**팔다** 저 가게는 빵을 팔아요. → Тот магазин продаёт хлеб.
가게,gage,**가게** 집 앞에 작은 가게가 있어요. → Перед домом есть маленький магазин.
시장,sijang,**시장** 어머니는 시장에 가셨어요. → Мама пошла на рынок.
돈,don,**돈** 지금 돈이 없어요. → Сейчас у меня нет денег.
가격,gagyeok,**가격** 이 옷은 가격이 비싸요. → У этой одежды высокая цена.
싸다,ssada,**싸다** 이 사과는 아주 싸요. → Эти яблоки очень дешёвые.
비싸다,bissada,**비싸다** 이 커피는 너무 비싸요. → Этот кофе слишком дорогой.
만나다,mannada,**만나다** 내일 친구를 만나요. → Завтра встречаюсь с другом.
일하다,ilhada,**일하다** 아버지는 회사에서 일해요. → Отец работает в компании.
공부하다,gongbuhada,**공부하다** 저는 한국어를 공부해요. → Я изучаю корейский язык.
배우다,baeuda,**배우다** 요즘 수영을 배워요. → В последнее время учусь плавать.
가르치다,gareuchida,**가르치다** 선생님이 학생들을 가르쳐요. → Учитель учит учеников.
쉬다,swida,**쉬다** 주말에는 집에서 쉬어요. → По выходным я отдыхаю дома.
놀다,nolda,**놀다** 아이들이 공원에서 놀아요. → Дети играют в парке.
바쁘다,bappeuda,"**바쁘다** 오늘은 일이 많아서 바빠요. → Сегодня много работы, поэтому я занят."
아프다,apeuda,**아프다** 머리가 아파요. → У меня болит голова.
춥다,chupda,**춥다** 겨울에는 날씨가 추워요. → Зимой погода холодная.
덥다,deopda,**덥다** 여름에는 아주 더워요. → Летом очень жарко.
좋다,jota,**좋다** 오늘 기분이 좋아요. → Сегодня у меня хорошее настроение.
나쁘다,nappeuda,"**나쁘다** 날씨가 나빠서 집에 있어요. → Погода плохая, поэтому я дома."
크다,keuda,**크다** 우리 집은 아주 커요. → Наш дом очень большой.
작다,jakda,**작다** 이 신발은 조금 작아요. → Эти туфли немного малы.
많다,manta,**많다** 서울에는 사람이 많아요. → В Сеуле много людей.
적다,jeokda,**적다** 오늘은 손님이 적어요. → Сегодня мало посетителей.
시간,sigan,**시간** 지금 시간이 없어요. → Сейчас у меня нет времени.
시계,sigye,**시계** 벽에 시계가 있어요. → На стене висят часы.
오늘,oneul,**오늘** 오늘은 월요일이에요. → Сегодня понедельник.
어제,eoje,**어제** 어제 비가 왔어요. → Вчера шёл дождь.
내일,naeil,**내일** 내일 학교에 가요. → Завтра я иду в школу.
아침,achim,**아침** 저는 아침에 커피를 마셔요. → Я по утрам пью кофе.
점심,jeomsim,**점심** 점심에 김밥을 먹었어요. → На обед я поел кимпаб.
저녁,jeonyeok,**저녁** 저녁에 가족과 밥을 먹어요. → Вечером я ужинаю с семьёй.
요일,yoil,**요일** 오늘이 무슨 요일이에요? → Какой сегодня день недели?
주말,jumal,**주말** 주말에 영화를 봐요. → По выходным я смотрю кино.
날짜,naljja,**날짜** 오늘 날짜가 어떻게 돼요? → Какое сегодня число?
분,bun,**분** 십 분만 기다려 주세요. → Подождите всего десять минут.
날씨,nalssi,**날씨** 오늘 날씨가 정말 좋아요. → Сегодня погода действительно хорошая.
비,bi,**비** 밖에 비가 와요. → На улице идёт дождь.
눈,nun,**눈** 겨울에 눈이 많이 와요. → Зимой выпадает много снега.
바람,baram,**바람** 오늘은 바람이 많이 불어요. → Сегодня дует сильный ветер.
하늘,haneul,**하늘** 하늘이 아주 파래요. → Небо очень синее.
구름,gureum,**구름** 하늘에 구름이 많아요. → На небе много облаков.
버스,beoseu,**버스** 저는 버스로 학교에 가요. → Я езжу в школу на автобусе.
지하철,jihacheol,**지하철** 지하철이 버스보다 빨라요. → Метро быстрее автобуса.
기차,gicha,**기차** 기차를 타고 부산에 가요. → Я еду в Пусан на поезде.
자동차,jadongcha,**자동차** 아버지는 자동차를 운전해요. → Отец водит машину.
자전거,jajeongeo,**자전거** 공원에서 자전거를 타요. → Я катаюсь на велосипеде в парке.
비행기,bihaenggi,**비행기** 비행기로 제주도에 가요. → Я лечу на остров Чеджу на самолёте.
택시,taeksi,"**택시** 늦어서 택시를 탔어요. → Я опаздывал, поэтому взял такси."
역,yeok,**역** 다음 역에서 내려요. → Я выхожу на следующей станции.
그리고,geurigo,**그리고** 아침을 먹었어요. 그리고 학교에 갔어요. → Я позавтракал. И пошёл в школу.
하지만,hajiman,**하지만** 배가 고파요. 하지만 시간이 없어요. → Я голоден. Но у меня нет времени.
아주,aju,**아주** 이 음식은 아주 맛있어요. → Эта еда очень вкусная.
정말,jeongmal,**정말** 이 영화는 정말 재미있어요. → Этот фильм действительно интересный.
그래서,geuraeseo,**그래서** 비가 와요. 그래서 우산을 가져가요. → Идёт дождь. Поэтому я беру зонт.
